"SN","Response","RT","Pair"
"52",1,1639.99999985695,18
"52",-1,1286.29999985695,7
"52",2,1379.19999990463,21
"52",2,1772.70000004768,19
"52",2,1133.29999999999,20
"52",1,1713.49999985695,18
"52",-1,3085.09999985695,5
"52",1,1585.79999985694,11
"52",-1,1762.5,10
"52",1,1853.7,15
"52",2,2682.89999995232,1
"52",-1,1623.89999985695,4
"52",1,1247.59999995232,3
"52",1,2614,7
"52",-1,1558.19999990464,12
"52",1,3728.59999985695,9
"52",1,3907.79999995232,16
"52",-1,2960.69999990464,17
"52",-1,2193.69999990464,8
"52",-2,1554.79999985694,13
"52",-2,1380.89999999999,2
"52",1,1501.99999995231,14
"52",-2,1194.49999995231,6
"57",-1,19633.1,13
"57",1,2847.69999995232,7
"57",2,1790.40000009537,17
"57",1,2039.10000009536,1
"57",2,1950.00000000001,8
"57",1,2168.50000009537,16
"57",-1,2857.79999995232,3
"57",-1,1399,15
"57",-1,1071.60000009536,10
"57",-1,1365.39999995231,6
"57",-1,2855.1,2
"57",-1,1165.00000009537,4
"57",-1,1215.30000014305,18
"57",1,1087.80000014305,5
"57",1,1596.00000014305,11
"57",-1,1780.89999995231,14
"57",1,1150.60000004769,9
"57",-1,1960.5,12
"57",-1,1114,19
"57",-2,2334.60000014305,21
"57",-2,1689.80000014305,20
"57",-1,1374.10000004768,7
"57",1,1023.30000014305,6
"57",2,1462.89999995232,15
"57",1,3413.2,2
"57",-1,1085.2,8
"57",-1,2049.69999995231,1
"57",-1,1303.60000000001,3
"57",1,1092.20000014306,13
"57",-1,3593.39999999999,16
"57",-1,626.899999952322,18
"57",-1,2305.10000004768,4
"57",-1,1180.39999999999,5
"57",-1,1493.8,10
"57",-1,6052.30000009536,17
"57",1,2585.20000014306,12
"57",1,1555.09999995232,14
"57",-1,1235.90000014305,11
"57",1,1698.60000014305,9
"59",1,19694.4,1
"59",2,1473.99999990463,7
"59",-1,1823.00000004768,11
"59",2,1086.59999985695,5
"59",-1,5395.50000004768,2
"59",1,2027.89999995231,6
"59",1,7635.29999995232,10
"59",2,1018.29999990463,8
"59",1,1097.59999985695,16
"59",-1,1230.19999985695,18
"59",-1,1901.09999985695,13
"59",1,1601.90000004768,17
"59",1,1089.80000004768,15
"59",-2,2734.4,14
"59",1,1233,4
"59",1,1423.69999995232,3
"59",1,1183.09999985695,9
"59",-1,2145.40000004768,12
"59",1,2827.89999999999,19
"59",2,1179.2,20
"59",-2,1724.49999985695,21
"59",2,1447.79999995232,11
"59",-2,1462.79999990463,5
"59",-1,1396.2,6
"59",-1,1093.60000004768,3
"59",-1,1041.99999985695,8
"59",-1,1544.8,18
"59",1,1411.19999995231,2
"59",1,4163.79999995232,13
"59",-2,3341.5,4
"59",2,1535.90000004768,12
"59",-2,1411.20000004768,7
"59",-1,1466.69999995231,16
"59",-1,2816.59999999999,17
"59",1,1489.10000000001,9
"59",-1,1693.59999985695,1
"59",-1,1586.39999985695,10
"59",-2,1299.09999985695,15
"59",2,2175.89999990464,14
"60",-1,13625.4000000954,7
"60",2,3696.40000009537,18
"60",-1,1933.10000009537,11
"60",1,2320.50000009537,16
"60",-1,2220.20000014305,3
"60",1,2053.19999995232,8
"60",2,2545.30000009537,6
"60",-1,3899.99999999999,13
"60",1,1488.8,5
"60",-2,2661.40000009537,2
"60",1,1347.30000004768,9
"60",1,1221.40000014305,15
"60",1,1316.6,4
"60",1,2537.50000009537,14
"60",2,1060.00000014305,17
"60",-1,1962.19999995232,1
"60",-1,1660.4,10
"60",1,4234.29999995232,12
"60",2,1041.00000009537,20
"60",-2,1135.70000009537,21
"60",-1,2306.30000004769,19
"60",1,2966.20000004768,3
"60",1,952.700000143057,5
"60",2,2066.49999995231,11
"60",-1,2672.49999995231,16
"60",1,1502,13
"60",-1,3386.10000000001,4
"60",-1,2530.30000009536,10
"60",1,2749.80000004769,12
"60",-1,4888.60000004768,15
"60",2,1285.2,2
"60",1,1457.80000009536,8
"60",1,1207.50000014305,9
"60",1,2824.30000009536,14
"60",-2,2927.40000014305,17
"60",-2,1490.89999995232,6
"60",-1,2687.70000009537,18
"60",1,1316.50000009537,7
"60",2,1176.50000009537,1
"68",1,17039.5999997139,5
"68",1,3764.9999997139,12
"68",2,1207.5999997139,10
"68",-1,2575.89999990463,2
"68",-1,2193.39999990464,1
"68",1,1737.6999997139,7
"68",-1,2436.6,4
"68",1,1803.19999961853,3
"68",-1,2563.49999990463,11
"68",1,1429.49999990463,9
"68",-2,1668.89999990464,16
"68",-2,2441.8999997139,13
"68",-1,5992.99999990463,17
"68",1,1929.29999990463,8
"68",2,1292.6999997139,6
"68",-1,1361.89999980926,18
"68",-2,1395.59999961853,14
"68",1,2027.89999999999,15
"68",-1,3419.8,19
"68",-2,1266.7,21
"68",2,1296.8999997139,20
"68",1,1133.20000000001,8
"68",-1,2265.2,6
"68",1,1319.2,17
"68",2,1514.69999990464,10
"68",-1,2166.3999997139,3
"68",1,2920.39999980926,14
"68",1,1075.29999980927,9
"68",2,2209.19999971389,16
"68",-2,2625.69999980927,5
"68",-2,1256.69999961853,18
"68",-1,1654.99999990463,7
"68",-1,1668.69999971389,12
"68",1,2338.0999997139,2
"68",2,1781.5,1
"68",1,2438.39999990464,11
"68",-2,1629.10000000001,4
"68",-2,1788.29999961852,15
"68",2,1316.7,13
"72",1,16140.4000002861,14
"72",-1,1894.9000002861,1
"72",1,3955.1000002861,4
"72",-1,3589.90000009537,12
"72",1,4573.9000002861,2
"72",1,2255.40000019073,9
"72",1,1245.50000019073,13
"72",-1,3196.60000019074,17
"72",-1,1941.1,10
"72",1,2439.8,3
"72",-1,1726.30000009537,6
"72",1,1873.90000038147,15
"72",2,1391.10000009536,5
"72",-1,1895.9,11
"72",2,1188.50000009537,8
"72",1,1149.00000028611,18
"72",2,4448.10000038147,7
"72",-1,4350.60000009536,16
"72",-1,1432.7,21
"72",2,1159.9000002861,20
"72",1,4730.30000038147,19
"72",-1,2397.2000002861,17
"72",-1,1094.00000019073,7
"72",-1,5787.1000002861,13
"72",-1,3899.7,2
"72",1,2024.1000002861,16
"72",1,966.500000000015,11
"72",-1,2378.00000028611,10
"72",1,5915.00000019073,14
"72",2,3287.0000002861,12
"72",1,1028,1
"72",-2,2235.20000009537,15
"72",-2,1506,4
"72",-2,1726.10000009536,18
"72",1,1633.29999999999,6
"72",1,1792.8,3
"72",-1,5777.5,9
"72",-2,1515.10000038147,5
"72",-2,1446.70000019073,8
"67",1,31496.600000143,7
"67",1,1516.7,2
"67",1,2208.90000009537,12
"67",1,2176.90000004768,6
"67",2,1514.20000019074,18
"67",2,1838.20000019074,3
"67",-1,1805.70000014305,17
"67",-2,1924.7,14
"67",-1,2272.30000019073,10
"67",-1,2110.40000009537,16
"67",2,1402.40000009537,5
"67",1,1761.70000004768,15
"67",1,1028.5,8
"67",-1,1227.20000004768,11
"67",1,1066.40000014305,1
"67",-2,1465.40000014305,4
"67",1,1375.60000019074,13
"67",1,1424.70000014306,9
"67",2,1055.90000009537,19
"67",2,886.000000095373,21
"67",2,682.500000190732,20
"67",-1,2607.30000004769,8
"67",-2,1415.30000004769,5
"67",-1,1310.90000019074,13
"67",-2,1668.90000014305,9
"67",-2,1153.40000019074,1
"67",-1,1042.90000009537,2
"67",-2,970.000000190732,15
"67",-2,827.700000143057,18
"67",-1,1139.20000004768,7
"67",1,1061.50000009537,14
"67",1,1411.30000014305,10
"67",-1,979.699999999997,6
"67",1,1589.10000014305,4
"67",-1,1661.60000009536,16
"67",1,1587.8,17
"67",1,1260.50000014305,11
"67",-2,6585.90000009537,12
"67",-1,1226.80000014305,3
"66",1,12332.5,18
"66",1,1950.1,10
"66",1,2113.30000004768,15
"66",1,1861.29999990463,12
"66",-1,1891.8,9
"66",1,1768.69999995232,6
"66",2,1410.00000004768,14
"66",-1,1458.49999990463,11
"66",-2,2736.00000004769,2
"66",1,1538.89999985695,13
"66",-2,1773.29999990463,1
"66",1,1222.99999985695,7
"66",-2,941.79999985695,4
"66",-1,1560.7,8
"66",1,2114.99999995231,17
"66",1,1478.90000004768,3
"66",-1,2340.30000004768,16
"66",2,999.29999990463,5
"66",2,1263.9,20
"66",-1,2877.69999995232,21
"66",2,1227.79999985695,19
"66",1,1187.29999990463,14
"66",1,2923.60000004769,4
"66",-1,1478.69999985695,12
"66",1,2467.49999985695,10
"66",-1,1953.19999990464,6
"66",-2,1323.29999995232,5
"66",2,1510.69999995231,1
"66",1,986.700000047684,3
"66",1,2971.39999995232,15
"66",-1,1365.59999990463,8
"66",1,1511.70000004768,16
"66",-2,2723.09999990463,18
"66",-2,1558.99999990463,7
"66",1,952.099999904633,13
"66",1,1178.59999990463,2
"66",1,1299.69999985695,17
"66",-1,2737.19999990464,11
"66",-1,2051.40000004768,9
"65",1,14463.3,12
"65",-1,3413.79999995232,15
"65",1,1941.29999980926,5
"65",1,2432.3,10
"65",-1,4607.09999990463,8
"65",-1,2095.39999980926,9
"65",1,1588.29999985695,7
"65",1,1077.5,1
"65",-2,1714.79999995232,13
"65",1,3806.59999980927,18
"65",-1,1870.09999990463,11
"65",1,1307.59999995232,4
"65",1,2839.19999995232,2
"65",-2,3102.39999995231,16
"65",1,2451.29999990463,3
"65",-1,2640.99999995231,17
"65",1,6431.8,6
"65",1,1783.3,14
"65",1,4016.60000000001,21
"65",-1,6360.89999980926,19
"65",-1,2290.99999980927,20
"65",1,4359.59999990463,16
"65",-1,1313.60000000001,5
"65",-2,3821.89999995232,18
"65",-1,2365.09999990463,3
"65",1,1543.39999995232,9
"65",-2,2857.89999990464,8
"65",-2,2880.69999985695,1
"65",-1,1596.99999985695,7
"65",1,1733.3,14
"65",-1,1497.39999980926,2
"65",2,2085.99999990463,17
"65",1,2147.29999980927,11
"65",-1,4358.19999985695,15
"65",-1,3287.39999999999,4
"65",-1,2700.20000000003,12
"65",-1,1224.79999999999,10
"65",-1,2271.89999995232,6
"65",-1,1525.5,13
"64",1,15288.6,11
"64",1,1773.20000004768,16
"64",-1,1590.19999985695,4
"64",2,1830.79999995232,13
"64",-2,2990.29999985695,14
"64",1,1566.7,18
"64",-1,3120.5,6
"64",1,1820.10000004768,1
"64",1,891.79999985695,7
"64",1,1248.39999985695,15
"64",2,1479.99999995231,8
"64",-1,2676.89999985695,3
"64",1,1473.79999995232,10
"64",-1,1311.89999990464,12
"64",-1,1555.29999985695,2
"64",-2,2405.4,17
"64",1,3637.29999985695,9
"64",2,1563.80000004768,5
"64",-2,2014.09999985695,21
"64",1,2534.09999985695,20
"64",1,1328.99999990463,19
"64",-1,1684.00000004769,7
"64",-1,1080.89999999999,18
"64",-1,1215.00000004769,13
"64",1,2374.39999985695,8
"64",1,983.000000047687,9
"64",1,1152.10000000001,2
"64",1,802.099999856946,17
"64",1,1018.89999995232,12
"64",-1,1098.5,3
"64",-1,1142.89999995232,10
"64",1,1345.69999995231,1
"64",-1,1876.79999995232,6
"64",-1,2593.79999995232,11
"64",-1,1322.49999985695,5
"64",-1,1061.69999995231,16
"64",-1,2499.70000004768,4
"64",-1,1352.59999985695,15
"64",1,1498.40000004768,14
"63",1,28975.6999999046,12
"63",1,4009.09999995232,10
"63",-1,3144.8,11
"63",1,3339.79999980926,13
"63",1,2277.59999985695,9
"63",-1,4139.79999980926,1
"63",2,6814.69999995232,6
"63",1,2870.49999990463,15
"63",-1,4979.9,14
"63",1,4973.49999980927,18
"63",-1,3406.7,17
"63",-1,8007.3,3
"63",-1,6663.09999980926,5
"63",2,5261.09999980926,4
"63",1,4059.29999995232,16
"63",-1,2449.79999980927,8
"63",-1,2799.3,7
"63",2,5392.69999990464,2
"63",-2,1689.19999995231,21
"63",1,4054.19999980927,20
"63",-2,1956.09999990463,19
"63",-2,4422.7,4
"63",1,6637.29999995232,10
"63",1,1915.99999980925,15
"63",1,1872.29999985694,9
"63",1,1829.70000000001,16
"63",1,1501.19999980927,3
"63",1,1529.39999995232,8
"63",-2,2340.49999990463,12
"63",1,4199.19999990464,5
"63",1,1670.69999980927,14
"63",-1,5877.5999999523,6
"63",1,1898.59999985696,11
"63",-2,2727.39999990462,2
"63",1,3922.89999990462,13
"63",1,2366.29999990464,17
"63",1,1560.29999990464,18
"63",1,1746.29999999999,7
"63",2,1445.19999995231,1
"55",1,23659.1999999523,12
"55",-1,5985.19999985695,18
"55",-2,4562,14
"55",-1,3947.79999995232,13
"55",1,6758.50000004769,2
"55",-1,5944.69999995232,10
"55",-1,7531.79999990463,15
"55",-2,2958.80000004769,16
"55",-1,4737.29999990463,5
"55",1,2899.89999990464,3
"55",1,7040.19999990464,1
"55",1,7391.3,7
"55",-2,5951.89999995232,17
"55",-1,1929.90000004768,11
"55",2,2837.60000000001,6
"55",-1,3844.3,8
"55",1,2474.99999985695,4
"55",-1,7920.29999985694,9
"55",1,5379.69999995231,19
"55",-2,4293.50000004769,21
"55",-1,6025.70000004768,20
"55",2,4049.10000004768,10
"55",1,1848.09999985696,7
"55",-2,3430.79999999999,4
"55",1,3766.50000004767,5
"55",1,1728.19999985694,18
"55",2,2531.29999990464,13
"55",-1,5175.30000004769,2
"55",2,2832.89999985695,15
"55",1,1383.29999999996,11
"55",-1,5465.20000000001,12
"55",-1,1590.50000004767,6
"55",1,1183.10000000001,8
"55",2,2297.00000004767,1
"55",-1,1733.30000000002,14
"55",1,3065.69999995231,16
"55",1,1358.70000004768,9
"55",1,3199.99999999997,17
"55",-1,3226.09999985696,3
"53",-1,28924.7999999523,1
"53",-1,3183.2,9
"53",2,3225.50000009537,4
"53",-2,5856.50000014305,8
"53",1,10022.7999999523,6
"53",2,1901.79999995232,3
"53",1,2474.20000014305,14
"53",1,1774.80000009537,10
"53",1,2312.30000014305,11
"53",-2,3269.00000004769,16
"53",2,1690.30000014305,18
"53",-2,2703.00000014305,5
"53",-1,5707.50000014305,17
"53",1,1447.10000000001,13
"53",1,3300.99999995231,12
"53",-2,4426.09999995232,7
"53",-1,1681.10000009536,15
"53",-1,7278.60000014305,2
"53",2,3092.20000004768,21
"53",-2,2576.99999995231,20
"53",-1,3946.30000004769,19
"53",-1,1820.20000009537,18
"53",1,2140.59999995232,2
"53",2,2695.10000004768,1
"53",1,3420.00000009537,9
"53",-1,9963.40000009537,3
"53",1,2829.39999995232,8
"53",2,2076.70000004768,7
"53",-2,2234.10000014305,4
"53",2,1584.90000009537,5
"53",1,1977.40000014304,16
"53",-1,14883.1,6
"53",1,4952.49999995233,12
"53",1,4898.70000009536,11
"53",-1,2439.40000009537,15
"53",1,2005.90000014304,14
"53",-1,5542.29999999999,17
"53",-1,1063.79999995232,13
"53",-1,982,10
"33",1,28148.699999857,4
"33",1,3135.19999995232,7
"33",2,2049.69999990463,15
"33",2,1152.59999995232,11
"33",1,2090.3,6
"33",1,1310.59999990463,16
"33",2,1243.20000004768,2
"33",1,2185.90000004768,5
"33",1,1394.29999985695,8
"33",1,2651.49999995231,12
"33",1,2129.1,1
"33",1,2340.89999985695,18
"33",1,2575.49999995231,3
"33",-1,1440.69999990463,14
"33",-1,2471.49999995231,17
"33",2,1268.49999995231,10
"33",-1,3433.89999985695,9
"33",-1,2000.79999985694,13
"33",2,2312.7,21
"33",2,2724.99999990463,20
"33",1,1720.49999995231,19
"33",-1,3035.69999990464,7
"33",-2,1594.59999995232,18
"33",-1,3035.09999990463,6
"33",-2,1257.79999990463,11
"33",-1,1431.79999990463,3
"33",-1,2246.29999995232,12
"33",1,1414.29999990463,9
"33",1,1869.8,8
"33",1,1714.59999985695,14
"33",-1,2711.3,10
"33",-1,3187.59999985695,5
"33",-1,1643.89999985695,16
"33",-2,1314.79999990463,2
"33",-2,1086.89999995232,4
"33",-1,1867.29999985694,1
"33",-2,1384.79999990463,15
