SN,Matching,Label,Response,Correct,RT
1,Match,Self,Match,1,767.4999999992433
1,Nonmatch,Stranger,Nonmatch,1,633.1999999999534
1,Nonmatch,Stranger,Match,0,1402.8999999992666
1,Nonmatch,Stranger,Nonmatch,1,713.9000000000233
1,Nonmatch,Self,Nonmatch,1,847.0999999999767
1,Nonmatch,Self,Nonmatch,1,887.7999999994645
1,Nonmatch,Stranger,Nonmatch,1,1445.8999999994412
1,Match,Self,Match,1,908.699999999837
1,Nonmatch,Stranger,Nonmatch,1,810.6999999996042
1,Match,Self,Match,1,799.8999999999651
1,Nonmatch,Self,Nonmatch,1,1202.0999999992782
1,Match,Stranger,Match,1,1455.9999999998254
1,Nonmatch,Stranger,Nonmatch,1,974.2999999994644
1,Match,Self,Match,1,752.0999999996275
1,Match,Stranger,Match,1,1030.5999999994528
1,Match,Self,Match,1,585.7999999998137
1,Match,Stranger,Match,1,802.4999999994179
1,Match,Stranger,Match,1,492.4999999992433
1,Match,Stranger,Match,1,477.79999999981374
1,Match,Stranger,Match,1,420.3999999992666
1,Match,Stranger,Match,1,646.4999999996508
1,Nonmatch,Self,Nonmatch,1,771.7000000000116
1,Nonmatch,Self,Nonmatch,1,749.4000000000233
1,Nonmatch,Stranger,Match,0,1162.8999999994412
1,Nonmatch,Stranger,Nonmatch,1,976.3999999992666
1,Match,Self,Match,1,645.2999999999884
2,Match,Self,Match,1,606.6000000029799
2,Match,Stranger,Match,1,695.5000000029795
2,Match,Stranger,Match,1,780.7000000059597
2,Match,Self,Match,1,513
2,Nonmatch,Self,Nonmatch,1,894.3000000014908
2,Match,Stranger,Match,1,801.6000000029817
2,Match,Self,Match,1,624.3000000044703
2,Nonmatch,Stranger,Nonmatch,1,877.2999999999993
2,Nonmatch,Stranger,Match,0,839.9000000000015
2,Match,Stranger,Match,1,777.5999999999985
2,Nonmatch,Self,Match,0,653.8000000059619
2,Nonmatch,Self,Nonmatch,1,734.8000000044703
2,Nonmatch,Self,Nonmatch,1,641.7000000059634
2,Match,Self,Match,1,724.2000000029802
2,Nonmatch,Self,Nonmatch,1,1270.5000000044674
2,Match,Stranger,Match,1,774.400000001493
2,Nonmatch,Self,Nonmatch,1,761.7000000029802
2,Nonmatch,Self,Nonmatch,1,969.0000000044674
2,Nonmatch,Self,Nonmatch,1,653.3000000044703
2,Nonmatch,Stranger,Match,0,696.0000000044674
2,Nonmatch,Stranger,Nonmatch,1,1070.7000000059634
2,Nonmatch,Self,Nonmatch,1,946.7000000029802
2,Match,Stranger,Match,1,863.4000000029773
2,Match,Stranger,Match,1,749.0000000014843
2,Match,Self,Match,1,541.7000000014959
2,Nonmatch,Stranger,Nonmatch,1,856.0000000029831
2,Match,Stranger,Match,1,850.800000002986
2,Nonmatch,Self,Nonmatch,1,767.8000000014872
2,Nonmatch,Stranger,Nonmatch,1,840.5000000014843
2,Nonmatch,Stranger,Nonmatch,1,859.800000002986
2,Match,Self,Match,1,668.400000001493
2,Nonmatch,Stranger,Nonmatch,1,580.1000000014901
2,Nonmatch,Self,Nonmatch,1,733.8999999999796
2,Match,Stranger,Match,1,1065.2000000044643
2,Match,Stranger,Match,1,929.4000000044762
2,Nonmatch,Stranger,Nonmatch,1,866.5000000000146
2,Nonmatch,Stranger,Nonmatch,1,1020.5
2,Nonmatch,Self,Nonmatch,1,621.1999999999971
2,Match,Self,Match,1,744.7000000029802
2,Match,Stranger,Match,1,749.0000000044674
2,Match,Self,Match,1,778.1000000044733
2,Match,Stranger,Match,1,1032.9000000059605
2,Match,Stranger,Match,1,576.1000000059576
2,Nonmatch,Self,Nonmatch,1,587.4000000059605
2,Nonmatch,Self,Nonmatch,1,679.1999999999971
2,Match,Self,Match,1,663.7000000044645
2,Match,Stranger,Match,1,1340.4000000059605
2,Match,Self,Match,1,691.8000000059546
2,Match,Self,Match,1,576.1000000000058
2,Nonmatch,Stranger,Nonmatch,1,622.5000000029686
2,Nonmatch,Self,Nonmatch,1,1428.2000000044643
2,Nonmatch,Stranger,Nonmatch,1,1186.7000000059488
2,Match,Self,Match,1,582.500000004482
2,Match,Stranger,Match,1,762.1000000014901
2,Match,Stranger,Match,1,792.9000000029919
2,Nonmatch,Stranger,Nonmatch,1,731.2000000059488
2,Match,Self,Match,1,589.9000000059605
2,Nonmatch,Stranger,Nonmatch,1,780.9000000029919
2,Match,Self,Match,1,656.3999999999942
2,Nonmatch,Self,Nonmatch,1,691.9000000044762
2,Nonmatch,Stranger,Nonmatch,1,712.5000000029686
2,Nonmatch,Self,Nonmatch,1,608.2000000029802
2,Match,Stranger,Match,1,689.8000000015018
2,Match,Self,Match,1,699.7000000044645
2,Match,Self,Match,1,564.300000002986
2,Match,Self,Match,1,472.9000000014785
2,Match,Self,Match,1,388.7000000044645
2,Nonmatch,Stranger,Nonmatch,1,588.1000000000058
2,Match,Self,Match,1,625.1000000029744
2,Nonmatch,Stranger,Nonmatch,1,826.5000000059663
2,Nonmatch,Self,Nonmatch,1,799.4000000029919
2,Nonmatch,Self,Nonmatch,1,670.2000000029802
2,Nonmatch,Self,Nonmatch,1,903.8000000015018
2,Match,Self,Match,1,537.3000000059546
2,Nonmatch,Self,Nonmatch,1,640.0000000059663
2,Nonmatch,Self,Nonmatch,1,485.3999999999942
2,Nonmatch,Stranger,Nonmatch,1,732.6000000000058
2,Match,Stranger,Nonmatch,0,562.0000000029686
2,Nonmatch,Self,Nonmatch,1,679.8000000059546
2,Nonmatch,Stranger,Nonmatch,1,829.6000000000058
2,Nonmatch,Self,Match,0,683.3999999999651
2,Nonmatch,Stranger,Nonmatch,1,911.800000002986
2,Match,Stranger,Match,1,982
2,Nonmatch,Self,Nonmatch,1,610.0000000014843
2,Nonmatch,Stranger,Match,0,645.8000000044703
2,Match,Self,Match,1,490.7000000000117
2,Nonmatch,Stranger,Nonmatch,1,820.9000000059605
2,Nonmatch,Stranger,Nonmatch,1,551.0000000059663
2,Nonmatch,Stranger,Nonmatch,1,612.3999999999942
2,Match,Stranger,Match,1,855.4000000044762
2,Match,Self,Match,1,802.9000000014785
2,Match,Stranger,Match,1,962.10000000149
2,Match,Stranger,Match,1,491.1000000059721
2,Match,Self,Match,1,666.7000000000116
2,Match,Stranger,Match,1,1130.10000000149
2,Nonmatch,Stranger,Nonmatch,1,763.7000000059488
2,Match,Self,Match,1,551.8000000044703
2,Nonmatch,Self,Nonmatch,1,679.800000002986
2,Match,Self,Match,1,793.3000000059837
2,Nonmatch,Self,Nonmatch,1,673.9000000044471
2,Nonmatch,Self,Nonmatch,1,664.3000000015018
2,Match,Stranger,Match,1,719.4000000000233
2,Nonmatch,Stranger,Nonmatch,1,1555.100000005972
2,Match,Self,Match,1,586.2999999999884
2,Match,Self,Match,1,416.3000000044704
2,Match,Stranger,Match,1,653.8000000015018
2,Nonmatch,Stranger,Nonmatch,1,589.6000000014901
2,Match,Self,Match,1,563.300000002957
2,Match,Self,Match,1,640.3000000044703
2,Match,Stranger,Match,1,1300.0999999999185
2,Nonmatch,Self,Nonmatch,1,613.3000000044703
2,Match,Self,Match,1,416.5999999999767
2,Nonmatch,Stranger,Nonmatch,1,478.0000000029686
2,Nonmatch,Stranger,Nonmatch,1,705.0000000059372
2,Nonmatch,Stranger,Nonmatch,1,517.7000000059488
2,Match,Stranger,Match,1,775.4000000059605
2,Nonmatch,Self,Nonmatch,1,635.9000000029919
2,Match,Stranger,Match,1,717.6000000030035
2,Match,Stranger,Match,1,1059.10000000149
2,Nonmatch,Self,Nonmatch,1,805.1000000044587
2,Nonmatch,Stranger,Match,0,762.6000000030035
2,Match,Stranger,Nonmatch,0,705.4000000044471
2,Nonmatch,Self,Nonmatch,1,783.1000000044587
2,Match,Self,Match,1,772.2000000029802
2,Nonmatch,Stranger,Nonmatch,1,905.8000000015018
2,Nonmatch,Stranger,Nonmatch,1,888.8000000059837
2,Nonmatch,Stranger,Nonmatch,1,522.5000000059372
2,Match,Self,Match,1,566.7000000000116
2,Match,Self,Match,1,647
2,Match,Stranger,Match,1,747.7000000000116
2,Match,Self,Match,1,639.3000000059837
2,Match,Self,Match,1,577.0999999999767
2,Nonmatch,Self,Nonmatch,1,830.2999999999884
2,Nonmatch,Self,Nonmatch,1,679.4000000059605
2,Nonmatch,Stranger,Nonmatch,1,1004.3000000015018
2,Match,Self,Match,1,517.8000000059837
2,Match,Stranger,Match,1,947.10000000149
2,Match,Stranger,Match,1,589.8000000015018
2,Match,Stranger,Match,1,552.7000000044936
2,Match,Stranger,Match,1,516.300000002957
2,Match,Stranger,Match,1,546.2000000044936
2,Nonmatch,Self,Nonmatch,1,567.5999999999767
2,Nonmatch,Self,Nonmatch,1,659.6000000044587
2,Nonmatch,Stranger,Nonmatch,1,772.1000000030035
5,Match,Self,Match,1,718.5
5,Nonmatch,Stranger,Nonmatch,1,726.500000005959
5,Match,Self,Match,1,546.9000000000015
5,Nonmatch,Self,Nonmatch,1,697.2000000014887
5,Nonmatch,Stranger,Nonmatch,1,600.900000002981
5,Match,Stranger,Match,1,844.9000000000015
5,Nonmatch,Self,Nonmatch,1,565.5000000044674
5,Match,Stranger,Match,1,658.0000000029831
5,Match,Stranger,Match,1,745.4000000059605
5,Match,Stranger,Match,1,862.4000000029773
5,Nonmatch,Stranger,Nonmatch,1,753.2000000044718
5,Nonmatch,Stranger,Nonmatch,1,695.9000000044689
5,Match,Self,Match,1,753.1000000029817
5,Nonmatch,Stranger,Nonmatch,1,793.9000000059605
5,Nonmatch,Self,Nonmatch,1,664.1000000059576
5,Nonmatch,Self,Nonmatch,1,765.3000000059619
5,Match,Self,Match,1,712.8000000029788
5,Nonmatch,Stranger,Nonmatch,1,594.9000000029773
5,Nonmatch,Self,Nonmatch,1,799.9000000000087
5,Match,Self,Match,1,645.1000000000058
5,Match,Stranger,Match,1,742.0000000014843
5,Nonmatch,Stranger,Nonmatch,1,737.2000000029802
5,Match,Stranger,Match,1,643.3000000000029
5,Match,Stranger,Match,1,741.7000000029802
5,Nonmatch,Self,Nonmatch,1,724.2000000014959
5,Nonmatch,Stranger,Nonmatch,1,728.1000000029744
5,Match,Self,Match,1,604.6000000000058
5,Nonmatch,Self,Nonmatch,1,656.2000000059634
5,Match,Stranger,Match,1,836.2000000044645
5,Match,Stranger,Match,1,623.9000000044762
5,Match,Self,Match,1,529.900000001493
5,Nonmatch,Stranger,Nonmatch,1,628.9000000059605
5,Nonmatch,Stranger,Nonmatch,1,767.9000000029773
5,Match,Self,Match,1,509.0000000014843
5,Nonmatch,Stranger,Nonmatch,1,678.0000000059663
5,Match,Self,Match,1,522.400000001493
5,Match,Stranger,Match,1,749.8999999999796
5,Nonmatch,Stranger,Nonmatch,1,697.800000002986
5,Match,Stranger,Match,1,769.1999999999971
5,Nonmatch,Self,Nonmatch,1,655.5
5,Match,Stranger,Match,1,777.8000000015018
5,Match,Self,Match,1,550
5,Nonmatch,Stranger,Nonmatch,1,958.2000000029802
5,Match,Self,Match,1,498.0000000029686
5,Nonmatch,Self,Nonmatch,1,668.2000000044645
5,Match,Stranger,Match,1,812.3000000015018
5,Match,Stranger,Match,1,728.7999999999884
5,Nonmatch,Stranger,Nonmatch,1,589.5
5,Match,Self,Match,1,495.1000000059721
5,Nonmatch,Self,Nonmatch,1,549.3000000059546
5,Match,Stranger,Match,1,618.1000000000058
5,Nonmatch,Self,Match,0,654.6000000044587
5,Nonmatch,Self,Nonmatch,1,788.0000000059663
5,Match,Stranger,Match,1,782.3000000015018
5,Match,Stranger,Match,1,714.3000000059546
5,Match,Self,Match,1,806.6000000000058
5,Match,Stranger,Match,1,682.1000000059721
5,Nonmatch,Stranger,Nonmatch,1,811.6000000014901
5,Match,Self,Match,1,666.5000000059663
5,Nonmatch,Stranger,Nonmatch,1,675.4000000014785
5,Match,Stranger,Match,1,721.2000000014959
5,Nonmatch,Self,Nonmatch,1,654.2000000059488
5,Nonmatch,Self,Nonmatch,1,737.7999999999884
5,Nonmatch,Self,Nonmatch,1,751.000000004482
5,Nonmatch,Stranger,Nonmatch,1,663.1000000029744
5,Match,Stranger,Match,1,672.4000000044762
5,Match,Self,Match,1,780.4000000014785
5,Nonmatch,Self,Nonmatch,1,687.1000000014901
5,Match,Self,Match,1,619.500000004482
5,Match,Self,Match,1,577.1000000044587
5,Nonmatch,Stranger,Nonmatch,1,577.1000000014901
5,Nonmatch,Stranger,Nonmatch,1,738.000000004482
5,Match,Stranger,Match,1,721.000000004482
5,Match,Self,Match,1,694.9000000044762
5,Nonmatch,Self,Nonmatch,1,1184.4000000044762
5,Nonmatch,Self,Nonmatch,1,673.8999999999942
5,Match,Self,Match,1,589.7000000029802
5,Nonmatch,Stranger,Nonmatch,1,626.3000000015018
5,Match,Self,Match,1,506.8999999999942
5,Nonmatch,Stranger,Nonmatch,1,640.5
5,Match,Stranger,Match,1,791.5000000029686
5,Nonmatch,Self,Nonmatch,1,701.7000000029802
5,Nonmatch,Stranger,Nonmatch,1,737.8000000015018
5,Match,Self,Match,1,541.3999999999942
5,Match,Self,Match,1,639.2000000014959
5,Nonmatch,Stranger,Nonmatch,1,649.4000000014785
