Lshape,Rshape,Label,unknown,t1X,t1Y,t2X,t2Y,angle1,angle2,probeAngle,RT,subject
3,1,1,2,627.6283686,362.2217901,749.3442988,403.0711049,137.0566596,114.8774167,126.7619544,4.131847303,1
1,2,2,2,612.1994244,387.7301806,753.3132997,378.6016852,52.91514954,30.4049854,36.43181334,4.499774038,1
2,1,2,1,620.1966477,361.9743548,754.5313512,363.2896376,140.4315957,53.67991839,143.7908021,5.001530244,1
2,3,2,1,623.3585271,360.154462,737.2832972,361.0460652,160.2856223,64.30641668,155.1670173,4.901183533,1
3,1,3,1,623.0681135,362.6970926,738.758837,392.5209216,123.068803,40.42714392,129.7762843,5.001545815,1
1,2,1,2,623.3739385,405.4150266,760.2649631,360.9153682,117.6861641,138.9000109,126.5287323,3.145111305,1
3,2,2,2,614.191323,360.9399932,741.1506965,400.0002333,66.45578478,43.30666929,27.31349043,3.78060037,1
2,1,1,1,610.7238313,383.6153812,752.0485155,364.6551949,69.88889359,160.9244642,167.6386393,2.810584872,1
2,3,3,2,618.2718064,379.1029789,738.2874683,361.9762361,18.10913803,39.11929645,11.04567924,3.07710781,1
3,2,3,2,615.8160582,362.2560379,752.387451,409.2243114,141.1970203,120.5490783,154.1492161,3.546396229,1
1,3,1,2,617.1900944,378.5723845,755.2239566,371.5575113,47.912191,24.08577019,35.14469268,3.211975257,1
3,1,1,1,616.2934809,359.3859879,751.2464292,374.001252,121.1930845,32.60179535,14.65444262,3.462815316,1
1,3,3,2,608.2537863,356.4457567,738.3088085,380.117235,125.357938,155.3313635,169.1114635,2.994572305,1
2,1,1,1,607.7204485,363.2104923,751.7941593,363.6552883,130.1260544,39.50186857,37.97188185,3.395930839,1
2,3,2,1,609.9062231,374.036453,743.9369944,368.4011086,25.56490472,108.9299307,21.82083692,3.730348626,1
2,3,3,1,618.8934486,368.085758,740.6108417,360.4087681,160.726033,66.66156846,59.87600822,5.001503702,1
3,2,2,2,620.5624315,365.7146253,760.6983684,370.6941583,127.2087392,153.9124542,167.9359864,3.094837974,1
1,2,1,1,629.57088,391.378301,746.0545996,364.7990789,123.1372921,35.0895254,142.0269041,2.074625587,1
2,1,2,2,605.6108504,374.0986732,743.2546316,393.2603376,29.00411493,59.01429424,45.53871848,3.747131766,1
1,2,1,1,623.9831846,398.3902355,754.5162016,362.0374638,43.28611143,138.5640703,25.63120861,2.76036958,1
3,1,1,2,625.5893618,365.3234849,740.3752434,393.9612713,38.18937695,70.30787793,48.28778751,2.726950522,1
1,2,2,1,628.8364267,394.7448322,749.522102,358.084092,126.4864153,43.41460772,34.58407703,3.730407727,1
3,1,3,2,611.3846685,408.6495099,736.5133944,393.2608937,134.7513969,160.2923761,145.0522714,3.763859697,1
1,2,2,2,606.6046772,394.2585246,755.1832378,396.7671133,29.43222633,51.13866777,26.44121657,2.760452746,1
3,1,3,1,625.3634943,404.5790417,755.7268379,384.8212872,70.3371748,156.6857321,37.51322778,5.00144814,1
1,3,1,1,613.8768413,368.7777754,760.9250818,393.1897112,156.0149815,63.39120677,127.2998128,3.747171402,1
3,2,3,2,623.3557423,366.0807383,750.2756468,410.5708893,69.70417767,42.37937067,54.90644072,3.09488575,1
1,3,3,1,607.1875087,366.2951626,752.0029137,358.5679131,40.27867285,127.749949,124.0634696,3.814163818,1
2,1,1,2,625.0139664,402.3474304,754.6461871,377.8484602,62.5387762,29.69317712,21.14558465,2.793971957,1
3,2,2,1,616.2909693,401.8536263,741.6928207,412.2079418,49.51255605,134.4851352,138.199839,4.600080051,1
2,3,2,2,628.484959,394.978801,736.4544383,400.6729794,15.67389958,50.31819891,4.282751358,2.844057015,1
2,1,2,2,620.6484407,368.4146908,739.4467248,366.3820413,159.3647012,127.4443093,156.8363973,3.546433742,1
3,1,1,2,612.3876813,386.0872693,753.0044593,379.4608303,19.24949854,39.7162756,20.05276436,3.010214132,1
1,2,1,2,608.1413647,397.3879526,743.7228648,400.6237082,135.0936101,157.6750446,156.2757523,3.646767359,1
3,2,2,2,624.2738555,377.5566098,737.0664964,396.1473586,151.7784008,117.991841,139.3902609,3.462875833,1
1,3,1,1,621.8257791,391.5518355,747.9373049,369.4773612,40.36987272,125.7509674,41.94247509,2.392438598,1
3,2,2,1,628.3619568,366.3869678,738.6972226,361.6484311,149.3358094,53.99737607,49.79527604,2.710191447,1
3,2,3,2,606.1041393,400.0322188,749.9323789,373.7805833,34.78415948,66.85698751,41.97964959,2.542967336,1
2,3,3,1,617.753813,391.8486645,758.6591081,361.7874317,61.01202208,145.2149348,150.2170951,3.362451972,1
2,1,2,1,627.3611939,378.2302801,739.4386649,408.8593048,146.0884646,56.37543118,162.3498766,2.526201183,1
3,1,1,2,623.264634,403.4896632,752.1619358,378.702087,128.4433221,158.4613988,166.1964442,2.944319854,1
1,3,3,2,618.7327133,391.3098786,744.2605902,376.5562845,150.3396919,112.0093613,147.1301909,3.730446301,1
1,3,1,1,622.3685808,374.6820327,760.3183471,403.7547814,74.50213476,164.3490369,59.58144455,5.001452741,1
3,1,3,2,612.0376924,363.8524849,754.2762707,403.6931986,64.23641751,35.74183415,53.17203431,3.329051316,1
1,2,2,2,629.3239584,394.0258571,740.7301711,389.427058,105.8776894,142.4938655,137.5022483,2.710235684,1
2,1,1,2,605.4814369,411.563695,738.0968377,393.1269233,64.98396886,40.09189805,31.82475632,3.747046477,1
2,3,2,1,611.7109705,374.9049186,742.4461543,364.6773387,72.62840576,155.0688161,62.16015319,4.315841459,1
1,2,1,2,628.2510157,358.7018833,745.9754992,375.5152897,21.89852178,54.35625057,21.91932318,3.897721019,1
1,3,3,1,622.1555866,359.123132,758.3408174,373.3086986,143.0427883,52.14467036,42.52383113,4.733920139,1
3,2,3,1,623.0438318,389.198679,757.9449768,360.0290071,35.18581745,129.5891335,28.0548914,4.382748232,1
1,2,2,1,618.5915808,396.7936498,760.6194059,403.821267,144.0669766,58.34803949,34.26521122,5.001468666,1
2,1,2,2,624.5073955,363.60972,752.7128054,357.2286856,48.43647784,25.38740356,35.99681412,3.730488769,1
2,3,2,2,629.5225909,401.6467564,743.1655097,407.078347,54.14742325,18.99464614,33.55053154,4.215468913,1
2,1,1,1,618.7289522,388.875223,754.2096706,357.4738759,159.1230124,60.24838161,42.53061957,4.081670585,1
3,1,3,1,614.3078165,403.283371,759.4283667,404.3978724,116.3343523,25.91029327,119.4506848,3.864380525,1
2,3,3,2,621.3462648,379.1834342,737.8012888,394.0150974,106.7732235,130.2311069,153.0745132,3.028020737,1
2,1,1,2,615.4261863,412.314558,760.2946498,405.2564092,145.9710058,125.431069,134.9776755,2.742597303,1
2,1,1,2,627.0709401,387.8222406,758.842792,390.1354819,44.40369557,21.64984813,26.17753441,2.5596482,1
1,2,2,1,610.1418085,399.4673757,758.4912748,406.3017195,161.9484272,72.9405556,56.09900436,2.175039539,1
1,2,2,2,615.1829606,396.8501752,742.8821738,372.1529098,121.1806776,151.355478,157.9239771,2.191636176,1
3,1,3,2,620.2407422,374.5844037,750.368429,382.0162022,148.7842006,122.0346805,130.2759117,3.747072665,1
2,3,2,1,605.4653194,380.995003,752.8694117,380.9557502,159.1929081,64.77579473,162.3407364,4.048163052,1
1,3,1,2,623.0587129,403.4166663,746.0019936,363.6572855,146.6427041,110.5694883,152.4093354,3.880912045,1
1,3,3,1,607.3843173,391.9750488,739.6628714,404.9812635,15.16446942,105.9625713,121.0844326,3.529722089,1
3,2,2,2,606.6158398,403.1178819,746.9046239,378.488477,59.52277188,28.50363464,20.26949763,4.014643134,1
1,2,1,1,628.2777907,370.7391883,740.7696162,407.178344,147.3553323,49.63063153,148.6672372,3.680214376,1
2,1,2,2,616.3473366,411.0650067,746.697773,391.3431381,110.305726,134.1397183,133.907799,4.349252378,1
3,2,2,2,619.0514011,380.3079655,753.3700822,403.667414,129.6296302,157.1100126,163.4277413,3.14505539,1
3,1,3,2,623.3567776,395.5438967,746.7569461,409.8771688,64.80558758,42.7612162,46.88465196,3.964577185,1
1,3,1,1,614.7482664,382.1846627,750.7726183,358.8693792,127.0029345,44.81624967,126.1737517,3.128362848,1
3,1,1,1,626.5927716,394.1354276,737.9517263,384.5120455,150.154031,69.84113714,59.55987598,2.241955513,1
3,2,3,1,619.9896387,359.2115521,737.3994039,364.6925363,21.99404717,115.4173718,24.39242134,3.362476745,1
3,1,1,1,618.0032354,361.5687813,757.5967056,407.7589756,149.7998656,57.45206212,40.56033388,2.308871487,1
2,3,3,2,624.16705,408.2588124,757.2177307,412.2571917,25.76808398,65.40171406,56.50266204,2.124846896,1
2,3,2,2,607.0740662,385.4678038,752.5399048,365.749737,48.8558924,27.82492472,53.17115729,4.33248481,1
2,1,2,1,628.5479733,381.7609054,752.3978455,403.862753,106.2869719,17.47427827,118.65247,2.910998116,1
1,3,3,2,619.4730873,379.1862753,757.6721764,362.419063,122.4117954,143.2685469,157.6769167,2.994579383,1
3,1,3,1,625.8340891,378.2400285,746.0907166,376.5455869,54.03319222,142.0609293,37.20510719,2.141686305,1
2,3,3,1,615.7349334,372.9606569,742.4320696,380.2169295,46.82343494,128.559737,151.1841452,3.262149851,1
1,2,2,1,624.626752,378.4513553,737.8522394,356.193465,127.153301,42.2818335,21.21353784,3.596531895,1
2,1,1,1,606.5151592,387.7236777,754.1421981,386.1735144,16.1997867,106.4279655,123.7996486,3.394715916,1
3,2,2,2,612.9458263,398.8769943,747.3051863,362.2621172,154.5766261,131.4543123,142.9948474,2.3924524,1
2,3,3,2,627.7911856,370.556107,751.9819037,361.0539529,48.57905947,20.55047248,43.96511175,2.777059291,1
2,1,2,1,619.6160326,403.1807339,743.1277021,366.8862271,105.2493515,24.02877288,121.6505992,4.700430655,1
3,2,2,1,610.1900759,363.6272262,743.9526182,394.2733847,70.81407115,164.351493,172.2198215,2.894118717,1
2,1,1,1,616.901993,387.4739765,758.7025604,357.8775739,30.55807188,113.5111874,133.0772585,4.115051777,1
3,2,3,2,614.1071717,396.5644322,749.3087484,405.6741615,144.9113811,121.7398848,159.3737922,2.910898672,1
1,2,2,2,619.6754792,373.6207763,746.3471624,371.0385404,117.0212446,150.9438557,154.3753253,2.777139272,1
3,2,3,2,629.8089743,380.1809225,756.0565392,397.5452405,33.58285995,57.91902146,28.36707165,4.115005062,1
2,1,2,1,606.8310859,407.8807064,750.7747864,367.0446584,145.6182481,58.48806943,151.8473558,3.3290453,1
2,3,3,1,628.6581247,387.8527714,755.0918331,366.4790478,134.8487512,54.0650615,47.5589763,4.566633743,1
1,2,2,2,621.9735252,409.2938079,746.0875347,383.3306191,153.873303,116.8809878,131.8358322,4.533163015,1
1,3,1,2,629.8870265,386.498825,760.0607851,410.9405974,71.33224473,50.80178866,59.11251758,3.144945328,1
1,2,1,1,618.2741113,386.8113742,758.5302023,380.6228948,54.78281021,146.3866469,46.85333975,2.292033848,1
1,2,1,1,625.0230221,383.273045,739.5627331,370.6396152,128.234665,47.90117078,134.5818338,4.667024337,1
2,3,2,2,611.9696005,367.1190774,740.9555449,374.62986,119.1176844,145.5489793,152.0067572,2.542979014,1
1,3,3,2,615.1863934,391.0735305,757.1121849,377.4668314,72.71448699,35.2004873,18.34363499,2.927645006,1
1,3,1,1,625.3494232,380.466597,758.4611034,375.0567769,141.2734369,51.97435124,143.1329421,2.358974241,1
3,1,3,1,614.4363776,410.3838588,754.3738981,386.9403474,162.3583456,68.31701658,157.2021166,2.760410632,1
1,3,3,1,609.5495117,382.4188871,738.3247232,356.5319532,55.99973513,137.4244266,153.5005182,2.710247362,1
3,1,1,2,605.7596318,381.9330703,741.2117556,363.2541639,115.693513,155.5799884,161.7729538,3.412793605,1
2,3,2,2,615.916416,358.8051513,746.9138696,358.8290184,130.8743282,108.4386525,121.8220035,2.927660577,1
3,1,3,2,626.0342275,410.9258955,757.4303191,383.8672878,106.9266657,127.6399412,116.406202,4.315840751,1
3,1,1,2,613.6891788,392.4414544,747.530794,408.2881543,40.71755535,19.74877861,16.03145148,2.67678796,1
2,3,3,2,620.8333395,374.692671,751.6000139,401.769023,128.8143728,154.4963605,171.9895572,3.34445214,1
3,2,3,2,605.5908117,362.3161313,751.1858153,379.2251919,22.8666496,44.28743792,25.68153613,3.446111096,1
1,3,1,2,608.1006479,404.8430907,747.7690811,358.4732569,66.42055381,29.92486163,57.0325029,3.646806996,1
3,1,1,1,622.1319921,390.819532,758.7363639,407.2990194,50.98822173,133.6638317,83.86867504,0.636354692,1
1,3,3,2,625.4750146,398.097944,751.6230882,401.891408,135.7964247,163.3388382,170.1444532,3.145030617,1
2,1,1,1,625.7782394,382.0665971,739.9125462,391.2317283,135.9262628,41.07816143,49.0436671,3.646706843,1
2,3,2,1,619.5629631,404.7307785,750.5686702,357.9873449,150.3158824,52.40741207,159.3084019,4.198647199,1
2,3,3,1,623.6536986,364.2027747,739.8707193,390.539666,73.39154604,154.1191867,163.4896169,3.446070398,1
3,2,2,2,610.8529501,395.4906496,754.5091367,402.9724582,58.3477569,36.78000256,8.559550983,2.793772006,1
1,2,1,1,618.075745,403.4150231,744.1324748,402.1868031,52.80622812,138.993613,41.53996523,3.713593444,1
2,1,2,2,616.4106341,386.700282,745.6141724,412.5271121,47.33352607,68.64127444,60.70440803,2.091393863,1
1,2,1,1,606.2859013,390.3128467,754.9218868,404.8586164,42.26087532,132.8320571,33.36554279,3.345750936,1
3,1,1,2,618.8143045,406.8914992,759.9385779,376.3207062,73.71268802,47.12599509,33.32803786,5.001545462,1
1,2,2,1,624.9156171,363.1555652,754.6468725,402.8764584,62.40271523,154.858771,165.30301,5.001421598,1
3,1,3,2,614.1821479,406.8592297,754.6216964,369.828393,74.59719857,52.08727854,74.59193952,2.559719686,1
1,2,2,2,625.9601442,384.6254351,740.1890233,412.9617803,40.51221878,67.48030677,74.30814303,1.924201249,1
3,1,3,1,613.3417045,409.3588501,741.7400633,394.9417607,38.45890532,126.4156878,31.24227591,4.181967397,1
1,3,1,1,628.3117169,403.1076238,755.0815694,388.6874246,109.8552654,25.19563474,112.6516333,4.901174331,1
3,2,3,2,612.2615623,405.137266,746.0638598,391.0401544,59.22741525,32.83428397,115.0237558,4.265615196,1
1,3,3,1,621.8965405,383.1197807,742.2237368,378.7472879,36.66579753,133.2099792,133.588765,2.927626603,1
2,1,1,2,626.0271583,380.5139594,744.8626561,388.6176354,144.0940978,118.3787223,118.8164946,3.496343729,1
3,2,2,1,614.7282191,410.5116455,746.7325621,388.6593679,133.6445563,38.48687325,62.59444108,3.329028667,1
2,3,2,2,627.1097235,400.5581889,746.9747417,364.4625063,49.74215693,17.36883856,60.39631855,5.001499809,1
2,1,2,2,609.905123,383.5477904,743.5962906,375.2552865,46.91226229,19.39230137,40.76971659,3.596622846,1
2,1,1,2,622.5559158,411.5011795,745.3867916,411.4214167,28.62855985,49.67817719,61.67396099,2.006644742,1
2,1,1,2,618.9869351,397.0595627,759.3397979,383.5901955,154.8177978,115.9988667,127.1806219,3.780592938,1
1,2,2,1,629.8043826,393.5548194,746.0587904,407.376843,159.7746359,71.86731038,68.70763553,2.308867595,1
1,2,2,2,605.9028508,388.3272286,751.452281,410.8319855,117.5693906,148.8944764,152.5221094,2.660014729,1
3,1,3,2,622.4078616,359.3647417,748.9929039,406.7320653,119.2528977,156.8312846,133.8040449,3.278872829,1
2,3,2,1,612.7730678,393.1638385,741.7108081,359.7711271,41.34621562,123.6251885,44.7086276,1.957574301,1
1,3,1,2,616.108259,390.3878934,754.897853,400.6461584,50.72764276,20.32234198,35.87861277,3.178468786,1
1,3,3,1,616.6550458,391.9216921,744.1413319,369.1270523,152.7474016,71.73447163,56.39769947,3.947846776,1
3,2,2,2,617.8453709,362.1586241,746.193254,382.2129108,108.5681377,145.7342608,149.8176551,2.643264856,1
1,2,1,1,626.8058876,368.5218348,737.3048038,382.1995946,144.9727771,50.95577561,135.1706719,3.145011861,1
2,1,2,2,614.208771,356.9788348,759.5454449,403.2561868,142.2081643,122.072597,147.7318195,4.115107692,1
3,2,2,2,626.9393484,372.7752497,736.3590536,366.2551481,117.0913744,149.5322893,159.3258854,2.358976718,1
3,1,3,2,625.4213793,395.577982,749.2230617,368.1070791,114.6872201,150.2110177,134.8655989,2.810550191,1
1,3,1,1,616.1135541,359.2683884,738.1349458,391.8786777,126.453649,27.32495784,131.1235813,3.128356831,1
3,1,1,1,628.6704167,410.3673424,749.004758,360.1949512,124.4144399,37.50828267,28.14063896,2.191740575,1
3,2,3,1,624.5637662,364.6552062,743.3883549,404.3308998,139.5050065,41.22125009,137.2970918,3.947864117,1
3,1,1,1,613.0255804,402.8643851,756.7390451,388.5289225,48.74967039,133.3058845,141.0365927,4.131828546,1
2,3,3,2,616.0397264,382.5427573,747.1553903,371.9052337,51.48328905,27.78265359,22.30750637,3.19527316,1
2,3,2,2,623.6799236,395.3093569,742.5127877,363.5143479,162.6596147,129.9775428,176.8700166,2.977844727,1
2,1,2,1,619.6260904,402.8725947,737.8340423,397.2054695,34.36251358,117.2771556,10.51716076,2.844074002,1
1,3,3,2,613.1561143,376.8068596,760.3253406,373.6215283,117.8789217,154.9648805,167.2182477,2.526328586,1
3,1,3,1,617.4912194,389.2385792,751.3822061,395.8004738,164.8378267,66.88822888,160.5866469,3.2120064,1
2,3,3,1,626.167774,389.1450014,742.1517392,409.4475821,148.8856181,62.08589398,64.95574585,2.793808103,1
1,2,2,1,607.8507509,391.2174835,755.9061338,360.0021709,122.6661326,30.69356202,50.18557945,2.609892157,1
2,3,2,1,607.3099614,369.887931,741.9467198,361.9748661,24.48132995,120.2591563,9.967055205,3.495192861,1
2,1,1,2,608.6954354,410.9646286,736.4941166,411.3112554,125.6759579,156.2707191,165.6772101,3.228795556,1
1,2,2,1,623.863416,380.3841779,749.9529513,371.2300613,118.2049206,32.40120926,21.47472148,2.676758586,1
1,3,3,2,611.3856864,410.4210276,749.329081,371.2616096,161.7077385,126.6424713,123.4016924,2.576357375,1
3,1,3,1,610.0824786,401.5071047,751.89708,384.59696,53.89206958,145.7237403,36.21624272,2.810538512,1
3,1,1,1,620.0209735,385.3986422,738.8115595,403.7569194,143.2718974,58.60442204,52.01580216,3.26224151,1
3,2,2,1,627.9324701,411.5289146,748.7459863,367.2448997,49.97000201,143.0204012,141.4236997,3.211949069,1
2,1,2,2,606.0563356,363.4655229,758.6180495,403.52255,53.52377281,23.85159749,37.6093675,3.780464474,1
1,3,3,2,619.3795903,368.2234072,751.1554483,385.6361385,24.71465852,50.8288856,33.38371619,2.676760356,1
3,2,2,1,605.8694185,401.6821791,743.3207889,375.7506135,125.077178,36.84874147,31.2663189,3.027929432,1
3,2,3,1,618.1185041,402.5639372,756.1130219,366.7998745,66.03001341,160.8196035,49.67386914,3.696952217,1
2,1,1,1,605.402995,385.3763783,758.3988657,387.0377505,147.7793662,55.02141382,49.72884416,2.994480646,1
1,3,1,2,614.5717112,397.830778,738.1162297,374.923392,136.8785192,108.4507695,134.3949907,3.345754475,1
2,3,3,2,609.4129657,406.1533642,739.2379965,358.5125103,66.91019544,40.65297384,39.33440037,4.650304545,1
2,3,2,2,613.1508571,406.9865378,743.8515482,370.0803782,132.0791229,159.5344919,144.6135803,3.947796877,1
1,3,1,1,626.7830517,382.3190568,738.0788974,357.7321743,73.59640345,156.4691553,67.86401065,3.161833929,1
3,2,3,1,621.9976171,404.4886974,749.932317,387.838233,126.0076805,41.71743559,130.0354733,3.34570316,1
1,2,1,1,611.3990535,382.6051384,759.2292317,370.4784475,64.4631035,154.2428538,52.62436895,5.001527059,1
1,2,1,2,626.4062779,377.2939906,750.6050306,368.6365892,126.455402,151.9081957,134.7798824,3.897728097,1
3,1,1,1,626.1833359,363.7891367,752.9970059,404.9289247,133.4347179,52.02572525,47.99668249,5.001421598,1
2,1,2,1,609.0581173,399.9746534,736.1413267,399.5928907,109.3211859,18.46028624,114.021387,4.299118482,1
1,2,1,2,623.2152665,370.4246644,749.3572762,408.2722347,105.4344591,131.5020396,117.5638906,4.650319054,1
3,2,3,1,622.4178713,384.6084949,755.4248226,380.2533192,159.6655318,64.92407871,161.8247426,4.516500908,1
2,3,3,2,626.0737322,409.5231762,758.4699639,402.4798039,154.0389404,123.010064,130.4271566,4.098426828,1
2,3,3,1,628.1542271,375.2708332,743.4624862,404.9903661,15.74438694,106.5714656,114.8095662,4.866600866,1
