"subject","Label","error","absError"
1,2,-0.194972500000006,0.194972500000006
1,1,-2.68521519999999,2.68521519999999
1,2,9.40933417,9.40933417
1,3,7.2264507,7.2264507
1,3,-4.39679291,4.39679291
1,1,2.44725300000002,2.44725300000002
1,2,-2.75082228,2.75082228
1,2,2.23351889999999,2.23351889999999
1,3,-3.8752293,3.8752293
1,2,1.01664680000002,1.01664680000002
1,3,0.45867076,0.45867076
1,1,-5.72273810000002,5.72273810000002
1,1,8.2030532,8.2030532
1,3,-10.71042258,10.71042258
1,2,16.8881049,16.8881049
1,1,9.09040519999999,9.09040519999999
1,3,-10.80634484,10.80634484
1,1,4.69971016,4.69971016
1,1,-15.90030368,15.90030368
1,1,-1.96118659999999,1.96118659999999
1,2,-12.96115561,12.96115561
1,3,-5.51284588,5.51284588
1,3,-18.50591066,18.50591066
1,2,-6.34511708,6.34511708
1,1,-14.57058814,14.57058814
1,2,-8.25793200000001,8.25793200000001
1,3,5.49489419999999,5.49489419999999
1,2,-17.7345567,17.7345567
1,2,11.69110403,11.69110403
1,1,-19.52417979,19.52417979
1,3,-4.45666279,4.45666279
1,2,-2.33343150000002,2.33343150000002
1,3,-11.11875972,11.11875972
1,2,-4.05318,4.05318
1,3,12.6818707,12.6818707
1,2,9.09419080000001,9.09419080000001
1,1,-2.04070470000001,2.04070470000001
1,1,-7.88211822,7.88211822
1,1,-1.00229149999998,1.00229149999998
1,2,0.274118710000003,0.274118710000003
1,3,1.33894469999998,1.33894469999998
1,1,-12.87401514,12.87401514
1,3,6.92118862,6.92118862
1,3,-5.03234498,5.03234498
1,1,17.8887249,17.8887249
1,2,-0.231131500000004,0.231131500000004
1,3,2.93702004,2.93702004
1,1,-1.70838140000001,1.70838140000001
1,3,-0.0120926999999966,0.0120926999999966
1,1,0.73201499999999,0.73201499999999
1,3,5.34352523,5.34352523
1,1,3.09668049999999,3.09668049999999
1,3,-22.24642944,22.24642944
1,2,7.2727563,7.2727563
1,2,8.85331608,8.85331608
1,3,-7.93829757,7.93829757
1,3,-0.725379199999992,0.725379199999992
1,2,-5.03408445,5.03408445
1,1,16.0945844,16.0945844
1,3,0.237746390000005,0.237746390000005
1,1,-21.32543194,21.32543194
1,3,8.0137348,8.0137348
1,2,17.40581447,17.40581447
1,1,-0.00855760000000316,0.00855760000000316
1,1,-2.13179551,2.13179551
1,2,19.4819039,19.4819039
1,2,-12.86622231,12.86622231
1,2,4.67432869999999,4.67432869999999
1,3,3.42997150000001,3.42997150000001
1,1,20.8171898,20.8171898
1,2,2.62562500000001,2.62562500000001
1,1,5.19135779999999,5.19135779999999
1,3,11.3398859,11.3398859
1,3,-7.16236193999999,7.16236193999999
1,1,-4.94647987,4.94647987
1,3,-11.7218797,11.7218797
1,1,20.7517565,20.7517565
1,1,-11.64893098,11.64893098
1,2,-12.65043401,12.65043401
1,3,-5.14762911,5.14762911
1,2,12.5478423,12.5478423
1,1,-10.9111364,10.9111364
1,2,4.28882379999999,4.28882379999999
1,1,-5.76214986,5.76214986
1,1,6.0800801,6.0800801
1,2,1.20836061,1.20836061
1,3,-17.19537605,17.19537605
1,2,-7.25344043,7.25344043
1,3,-20.75948357,20.75948357
1,1,-0.713114700000006,0.713114700000006
1,3,20.9205964,20.9205964
1,3,12.93787024,12.93787024
1,1,-14.18138947,14.18138947
1,2,0.912064479999998,0.912064479999998
1,2,1.390389,1.390389
1,2,-11.42172294,11.42172294
1,1,9.4219272,9.4219272
1,1,-16.20415695,16.20415695
1,2,-4.40522294,4.40522294
1,1,-12.52501916,12.52501916
1,2,-10.663603,10.663603
1,3,-4.7642615,4.7642615
1,3,-5.55258744,5.55258744
1,2,-6.12083089999999,6.12083089999999
1,1,-16.52484603,16.52484603
1,3,-5.94609887,5.94609887
1,1,-0.541796300000016,0.541796300000016
1,3,24.0955506,24.0955506
1,2,20.7547568,20.7547568
1,1,-0.75278471,0.75278471
1,1,-22.16123432,22.16123432
1,2,-5.834172291,5.834172291
1,3,4.43149500000001,4.43149500000001
1,3,-21.65327425,21.65327425
1,2,0.314955140000002,0.314955140000002
1,2,11.2117954,11.2117954
1,2,17.0664356,17.0664356
1,1,-9.00003068,9.00003068
1,3,5.29828839999999,5.29828839999999
1,3,-4.51936063,4.51936063
1,1,3.56117849999998,3.56117849999998
1,1,5.82567269999998,5.82567269999998
1,2,16.4113178,16.4113178
1,2,2.44027639999999,2.44027639999999
1,3,-10.5723985,10.5723985
1,2,-18.70205162,18.70205162
1,1,-6.18942424,6.18942424
1,3,7.7208124,7.7208124
1,2,-1.38841020000001,1.38841020000001
1,1,-4.01090036,4.01090036
1,2,-12.98216857,12.98216857
1,2,-15.2923882,15.2923882
1,3,-20.64208493,20.64208493
1,1,-6.12233034,6.12233034
1,1,-7.81611928,7.81611928
1,3,3.52022260000001,3.52022260000001
1,1,7.59078260000001,7.59078260000001
1,3,-18.39610531,18.39610531
1,2,14.3689604,14.3689604
1,2,-12.65793521,12.65793521
1,3,-22.31971448,22.31971448
1,1,-21.69548698,21.69548698
1,3,-11.07605851,11.07605851
1,3,2.1427893,2.1427893
1,1,-10.41258865,10.41258865
1,1,0.000835500000022193,0.000835500000022193
1,3,19.6338426,19.6338426
1,3,5.21615590000002,5.21615590000002
1,3,1.5602695,1.5602695
1,1,-4.16438299,4.16438299
1,3,-24.24679096,24.24679096
1,1,10.7614839,10.7614839
1,3,-15.64294801,15.64294801
1,2,4.24027320000002,4.24027320000002
1,2,-8.24365121,8.24365121
1,3,-19.32870048,19.32870048
1,1,20.2306357,20.2306357
1,2,8.7575113,8.7575113
1,1,-21.23200892,21.23200892
1,2,12.2718071,12.2718071
1,2,-15.08017702,15.08017702
1,2,-11.109625676,11.109625676
1,1,3.70993540000001,3.70993540000001
1,2,-9.020035847,9.020035847
1,2,-9.9482962,9.9482962
1,3,7.39513099999999,7.39513099999999
1,3,17.2154333,17.2154333
1,1,-17.00528889,17.00528889
2,2,-3.54033749999999,3.54033749999999
2,1,2.54345764,2.54345764
2,2,-9.4813556,9.4813556
2,3,100.10167311,100.10167311
2,3,6.70847634,6.70847634
2,1,15.53540286,15.53540286
2,2,12.01377378,12.01377378
2,2,2.04373296,2.04373296
2,3,3.05633981,3.05633981
2,2,8.94212730000001,8.94212730000001
2,3,-5.75090667,5.75090667
2,1,-2.1175473,2.1175473
2,1,-6.53387247,6.53387247
2,3,-5.81929958,5.81929958
2,2,-0.990873800000003,0.990873800000003
2,1,-10.7659089,10.7659089
2,3,95.51632702,95.51632702
2,1,-2.75340789999998,2.75340789999998
2,1,-1.89924168,1.89924168
2,1,-4.7032111,4.7032111
2,2,-1.71245018,1.71245018
2,3,-5.5012771,5.5012771
2,3,2.3308229,2.3308229
2,2,-9.08521519999999,9.08521519999999
