loc1,loc2,suffix,Label,angle1,angle2,angle3,probeAngle,subject
1,3,4,3,128.9370434,68.24674042,27.76818248,54.23745301,2
1,3,4,1,51.63533442,25.61910985,140.5577871,31.95754261,2
2,3,4,3,21.15957337,156.7216364,55.19991758,162.9208743,2
1,2,4,2,121.1237281,142.0841214,43.78420584,152.463596,2
3,1,5,1,163.0141178,141.7277527,109.9811916,143.9365671,2
3,1,4,1,73.43998914,163.5830226,21.04938111,160.7551332,2
1,2,5,2,34.98782404,147.4933798,110.5577451,155.4050003,2
2,1,4,2,23.01067285,121.6052282,149.0389132,19.55468035,2
2,3,4,2,163.0123963,118.4813717,54.35755738,158.8474793,2
3,1,5,3,105.280996,50.40355925,162.4025115,130.7475608,2
1,2,4,1,126.163174,58.15378296,34.18337664,134.8388923,2
3,2,5,2,159.7709491,66.86882318,23.84036421,55.74923049,2
2,1,5,1,143.9083599,111.4705025,66.20596617,120.2886082,2
2,3,5,3,26.34620505,47.94793398,133.0874595,20.43062629,2
3,2,4,3,74.65451992,148.9850344,23.51879955,54.17268302,2
1,3,5,1,161.2516378,32.7881898,66.34739087,162.6711232,2
1,3,4,3,142.4537254,46.08560701,164.8331222,225.5271697,2
3,1,4,1,67.45017491,138.8840817,34.15752686,140.668962,2
2,1,4,1,107.8077679,67.57716924,147.7995121,60.64411908,2
2,3,4,2,119.3314587,73.81970577,46.77073261,117.9052421,2
2,3,5,3,15.01441728,66.24743557,115.3061927,66.93726518,2
3,2,5,2,127.6101183,49.18925299,163.995445,36.87740177,2
1,2,5,1,157.8909068,62.71022649,19.35396199,161.517796,2
2,1,5,2,155.1534119,53.66788825,25.1701289,158.0291164,2
1,2,4,1,47.23798041,125.22692,153.1856747,40.45679372,2
3,1,5,1,69.97550635,147.089079,32.64688867,152.9379059,2
1,2,4,2,126.0409831,16.69100246,66.70732708,19.04583987,2
3,1,5,3,37.32225092,156.3413448,122.1542259,34.23686899,2
1,2,5,2,58.57038643,113.2615784,155.1191589,124.0688842,2
3,1,4,3,54.5294804,111.9884133,25.84103396,56.21439253,2
1,3,4,1,16.87658859,148.5362862,37.14811314,16.97059755,2
3,2,4,3,118.5387137,54.32766614,33.41354029,126.683995,2
1,3,5,3,160.7574085,30.53958474,107.1184439,25.32090456,2
2,1,5,1,35.4242919,149.3231653,112.4756299,151.0960429,2
3,2,4,2,48.58207856,149.542419,71.16770846,145.9780849,2
2,3,5,2,162.273833,67.49260742,20.19518838,157.6260116,2
2,1,4,2,113.0871989,17.45221377,58.24980856,128.4038858,2
3,1,5,1,141.3852921,54.87871134,18.03549195,49.54612514,2
1,2,4,1,163.7497684,72.72102951,52.04689776,162.2642915,2
3,2,4,2,18.31621881,55.35557392,163.5564483,45.57206394,2
1,3,4,1,107.3613504,59.58227879,152.0605985,114.5243532,2
3,2,5,2,112.5148696,50.18556603,135.6036383,50.85517761,2
3,2,5,3,49.03532742,69.5428763,135.6498615,33.91141291,2
2,3,4,3,111.2581964,32.84625526,145.1434809,25.19435506,2
2,1,5,2,45.20491579,129.4469622,21.63584735,37.4688672,2
3,1,5,1,136.4944188,49.0514688,74.22034474,36.62991381,2
1,3,4,3,24.68935545,65.83295315,152.0735178,47.88987567,2
1,3,4,1,21.38127302,115.6773177,66.29072397,22.41306785,2
3,1,5,3,65.85018324,150.3168688,38.57229527,60.44729048,2
1,2,4,2,41.22323522,128.167684,74.87028183,134.1360422,2
2,1,5,1,131.5386682,56.14354755,27.91352206,50.05099807,2
1,2,4,1,47.82706385,153.6572851,15.42361266,54.93030469,2
2,3,4,2,113.2652823,49.86311887,149.2794775,122.9541032,2
1,3,4,3,113.7727691,146.3569836,56.31530547,152.9801636,2
3,2,5,3,39.19918997,143.0421625,105.4931503,32.90763301,2
1,2,5,2,110.859832,153.733896,60.89500449,159.3435034,2
2,1,4,2,48.20887609,143.7592659,115.7070065,39.94796229,2
2,3,5,2,37.17776928,163.9479354,127.6233664,28.26794499,2
2,1,5,1,68.50586451,120.191639,44.55044705,122.3415962,2
3,1,5,3,140.3844345,43.73060909,15.9623217,146.7034836,2
2,3,4,3,133.1872286,73.01028452,28.57576822,55.14854004,2
2,1,4,1,154.8041374,105.3069322,61.37762905,115.5279351,2
2,1,5,1,127.5901428,161.9322784,29.24454487,156.7546746,2
1,2,5,2,121.8496813,153.2900081,48.38371126,160.0911307,2
1,2,4,2,109.422677,134.5807946,53.67577282,147.1680132,2
3,1,4,3,162.7268346,57.51969361,36.94802148,163.5343796,2
2,3,4,2,30.52253718,153.8719429,124.4479885,23.26871069,2
1,3,5,1,40.89374857,61.86721212,149.1818473,35.09124129,2
1,3,5,3,114.8996308,37.31995629,143.7138205,28.08517596,2
3,2,5,2,26.64698279,111.2292321,133.3419454,124.3218653,2
1,2,4,1,15.84208521,127.0622632,161.8941268,18.86036584,2
2,1,5,2,137.3420177,63.93808226,159.8700489,146.698748,2
3,2,4,2,35.89044384,154.9128298,63.79821699,159.1716351,2
3,1,4,3,157.4809223,24.1420886,55.9328539,161.0040156,2
1,3,4,1,60.74143716,107.7747448,22.34611275,59.459883,2
3,1,5,1,44.9914486,133.7530267,163.4615673,137.7084992,2
3,2,5,3,60.47610761,153.786076,132.1423063,66.60068195,2
3,1,4,1,138.9380552,66.53661174,117.7098727,61.12842966,2
2,3,4,3,147.0633963,74.32680526,108.0017345,57.52355505,2
2,3,5,2,155.9976393,49.71115725,119.8766853,161.2276727,2
2,1,4,2,161.6767329,23.00477483,109.5113643,165.8235554,2
1,3,5,3,17.37175455,139.5225805,40.93042086,164.1483752,2
1,2,5,1,50.68150452,147.2164739,23.78117096,33.15185029,2
3,2,5,3,117.2293268,54.37747583,18.60310442,122.214389,2
2,3,4,3,153.9031108,58.60611138,132.0177594,50.80300736,2
1,3,5,1,113.8948554,16.3018647,47.76437162,121.7697524,2
1,2,4,1,63.34696013,162.4985995,24.70903519,55.56324989,2
3,1,4,3,32.08513848,157.6108939,66.48821436,27.58672961,2
2,3,5,3,144.0579719,164.2110231,109.7154835,163.2011467,2
3,1,5,3,111.9042728,19.97574712,42.56681249,118.124159,2
2,1,5,1,32.83014986,112.4192003,162.1936794,125.5817654,2
1,3,4,3,58.07521427,126.8544598,15.54856748,119.123451,2
3,1,4,1,150.1255718,127.1805821,105.0556758,141.1525449,2
3,2,4,3,68.6800529,149.024645,29.23022204,57.65754917,2
2,3,4,2,161.655612,61.94365063,40.7669804,163.6780286,2
3,2,5,2,113.4744948,160.0612393,70.62847291,160.174868,2
1,3,5,3,24.21638186,151.0304857,57.71134432,155.8155061,2
1,3,5,1,42.23846122,141.3781703,68.70476472,41.76059267,2
2,1,5,2,125.6057467,25.79381258,149.3610293,140.7153553,2
1,2,4,1,16.24872234,41.61194326,109.0142706,18.25129532,2
2,3,4,2,22.50352122,53.96332234,148.0617987,23.70095075,2
1,2,4,2,16.24244339,65.82994923,128.9073982,53.07968147,2
1,2,5,2,114.9523921,54.91255721,153.7401479,52.77469545,2
3,1,4,1,123.7885917,15.17350156,145.4323856,19.51833277,2
2,1,4,2,52.90364632,113.2959325,74.44927347,54.1045131,2
3,2,5,2,121.4737377,146.7064638,49.64152629,142.2054827,2
2,3,5,3,74.5666712,51.8105176,130.3957226,50.43354509,2
3,2,4,3,67.10543545,111.1931914,34.79883804,53.43060673,2
2,1,5,1,54.16415176,121.7598247,15.73417994,129.4438374,2
1,3,4,1,21.51173079,135.4787955,65.95177107,19.10697084,2
2,1,4,1,145.5612527,111.0098838,41.50852175,123.7379094,2
3,2,4,2,65.21116461,15.43823554,110.4734138,18.37323029,2
3,1,5,1,65.07127686,160.0747932,129.1210444,159.80266,2
2,3,4,3,140.7714544,65.74265932,33.17991906,51.35897805,2
1,3,4,3,140.1390394,63.63739065,37.77978202,47.66819422,2
3,2,5,3,107.9785052,52.38217799,136.7181026,115.8677,2
1,2,5,2,122.2617624,39.54160043,158.7346298,30.43436413,2
2,3,5,2,68.07031286,145.5936606,36.86623071,54.04303833,2
2,1,4,2,24.01403248,159.7453765,58.92560247,24.344771,2
1,2,5,1,115.0214134,66.63124145,33.89592673,114.9480249,2
3,1,5,3,143.9094751,35.01496911,63.60805824,152.9676734,2
2,3,4,2,16.57236722,50.08806363,71.86739657,24.66590531,3
2,1,4,1,31.54309963,110.9558397,139.5601762,49.33360088,3
1,2,5,2,138.9972118,68.42685652,38.38867003,45.91689608,3
1,3,4,3,152.3346548,73.45142899,116.3422918,37.53387694,3
3,1,5,3,118.445455,160.1343546,19.7338691,106.6749841,3
3,1,5,1,23.87065083,149.0047077,74.47858906,152.8590036,3
3,2,5,2,47.75431069,155.6644644,129.9977359,153.9672132,3
2,1,4,2,50.18121515,155.6410583,107.577813,43.77817958,3
1,3,4,3,133.7797027,161.9477609,60.46401084,153.3327944,3
3,2,4,2,52.10727595,15.2947342,73.76696985,32.00356239,3
3,2,5,3,157.5058907,62.74349588,25.62114949,157.1849215,3
2,1,5,1,113.1648016,157.9975065,25.4404851,152.2484167,3
1,3,4,1,128.7192657,70.0707029,21.08612983,131.5033923,3
2,3,4,3,136.8618024,105.138513,72.53128396,126.0390694,3
2,3,5,2,16.13014834,148.6737868,70.12566161,21.52702008,3
1,3,5,1,155.5658435,60.81202175,129.730217,149.4777374,3
3,2,5,3,55.61479462,34.78490648,149.8957643,44.63923693,3
1,2,4,1,38.39128092,105.8077127,73.13038961,50.41998836,3
1,2,5,1,28.77639177,120.0309439,155.2899831,34.44476397,3
3,1,4,1,68.35030915,162.7930254,122.4632997,153.2345755,3
2,1,5,2,152.9427634,51.01995342,122.8423796,142.6269323,3
3,1,5,3,15.1961587,144.1121362,63.06846703,22.40388497,3
2,3,4,3,29.32912286,140.9583391,57.47428647,158.776799,3
1,2,4,2,112.860957,164.3728223,70.05470814,207.24716,3
2,1,4,1,21.39358979,68.42573824,146.3098559,52.17839222,3
3,2,4,2,45.51367414,138.103847,111.650062,145.5493907,3
2,3,5,3,145.097277,16.37310383,63.90599792,18.48985163,3
2,1,5,2,122.059094,144.2110252,16.48046572,123.1497496,3
3,2,5,2,153.1105319,26.01484325,66.68744268,22.13068925,3
2,1,5,1,71.64093356,125.3823641,146.0371356,127.4636672,3
3,2,4,3,17.7534427,132.2206425,160.8253761,30.75293085,3
1,2,4,2,51.9417556,106.9549516,157.7131805,118.8437486,3
3,2,5,3,122.4710984,66.84814406,43.36286383,127.0571568,3
2,1,5,2,19.80872948,107.4681413,131.5292431,24.24077635,3
2,3,4,3,117.3959278,148.8596997,55.45384352,151.1966363,3
1,2,4,2,52.36663269,154.8342433,134.7744592,140.2282695,3
1,3,5,1,164.7857878,56.1158914,135.6825192,150.024791,3
1,2,4,1,151.9345295,51.85271589,131.2265008,138.0880716,3
1,2,5,1,161.2745695,34.20458582,128.1174774,156.8862701,3
2,3,4,2,124.0080054,157.2365622,20.38976145,138.8161818,3
1,3,4,3,143.6655086,63.19771783,29.24576733,53.79827606,3
1,3,4,1,33.61671797,109.6130622,139.9018373,65.83994974,3
3,1,5,3,31.29896519,112.6145511,135.1773692,49.15739481,3
1,3,4,3,49.53536871,144.3441544,120.2554677,137.7714142,3
3,1,5,1,159.4664006,38.49066056,69.5561041,43.6112034,3
2,3,5,2,133.3518529,70.2775493,37.28845487,140.4421034,3
3,1,5,3,147.0813932,21.64729874,112.5810273,139.1712614,3
3,1,4,1,121.0411735,162.3296468,35.84829269,167.9399048,3
2,3,5,3,74.30479231,126.4976646,42.16522366,166.7010316,3
2,1,4,1,139.4989519,29.75357176,164.1994015,234.999463,3
